TradeDate,ResourceName,StartTime,EndTime,MeteredFlow,FlowVariance,ResidualCapacity
"2023-11-27","I_NIMOYLE","2023-11-27T15:00:00","2023-11-27T15:30:00",193.2,22.2,158
"2023-11-27","I_ROIEWIC","2023-11-27T15:00:00","2023-11-27T15:29:59",38.3,34.3,507
"2023-11-27","I_NIMOYLE","2023-11-27T16:00:00","2023-11-27T16:30:00",213.2,28.7,131
"2023-11-27","I_ROIEWIC","2023-11-27T16:00:00","2023-11-27T16:29:59",157.65,34.15,268
"2023-11-27","I_ROIEWIC","2023-11-27T17:00:00","2023-11-27T17:29:59",262.83,7.33,4
"2023-11-28","I_ROIEWIC","2023-11-28T01:00:00","2023-11-28T01:29:59",241.03,27.03,87
"2023-11-28","I_ROIEWIC","2023-11-28T02:00:00","2023-11-28T02:29:59",255.8,-4.7,-6
"2023-11-28","I_ROIEWIC","2023-11-28T03:00:00","2023-11-28T03:29:59",263.76,-1.24,-15
"2023-11-28","I_ROIEWIC","2023-11-28T04:00:00","2023-11-28T04:29:59",263.04,-1.96,-15
"2023-11-28","I_ROIEWIC","2023-11-28T05:00:00","2023-11-28T05:29:59",263.49,-1.51,-15
"2023-11-28","I_NIMOYLE","2023-11-28T06:00:00","2023-11-28T06:30:00",168.1,-19.4,125
"2023-11-28","I_ROIEWIC","2023-11-28T06:00:00","2023-11-28T06:29:59",207.29,-20.21,60
"2023-11-28","I_ROIEWIC","2023-11-28T07:00:00","2023-11-28T07:29:59",263.43,-1.57,-15
"2023-11-28","I_ROIEWIC","2023-11-28T08:00:00","2023-11-28T08:29:59",254.79,-10.21,-15
"2023-11-28","I_ROIEWIC","2023-11-28T09:00:00","2023-11-28T09:29:59",253.7,25.7,59
"2023-11-28","I_ROIEWIC","2023-11-28T10:00:00","2023-11-28T10:29:59",262.39,-2.61,-15
"2023-11-28","I_ROIEWIC","2023-11-28T11:00:00","2023-11-28T11:29:59",262.69,-2.31,-15
"2023-11-28","I_ROIEWIC","2023-11-28T12:00:00","2023-11-28T12:29:59",263.59,-1.41,-15
"2023-11-28","I_ROIEWIC","2023-11-28T13:00:00","2023-11-28T13:29:59",209.51,-20.99,54
"2023-11-28","I_ROIEWIC","2023-11-28T14:00:00","2023-11-28T14:29:59",205.42,1.92,108
"2023-11-28","I_ROIEWIC","2023-11-28T15:00:00","2023-11-28T15:29:59",229.77,-8.73,38
"2023-11-28","I_ROIEWIC","2023-11-28T16:00:00","2023-11-28T16:29:59",231.4,-19.6,13
"2023-11-30","I_NIMOYLE","2023-11-30T01:00:00","2023-11-30T01:30:00",148,-0.5,203
"2023-11-30","I_ROIEWIC","2023-11-30T01:00:00","2023-11-30T01:29:59",75.75,30.7505,425.001
"2023-11-30","I_NIMOYLE","2023-11-30T02:00:00","2023-11-30T02:30:00",148,-0.5,203
"2023-11-30","I_ROIEWIC","2023-11-30T02:00:00","2023-11-30T02:29:59",45.16,-19.84,385
"2023-11-30","I_NIMOYLE","2023-11-30T03:00:00","2023-11-30T03:30:00",148.1,-0.4,203
