TradeDate,DeliveryDate,StartTime,EndTime,ParticipantName,ResourceName,AvgOutturnAvail
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_403120",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_403450",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_403470",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400144","DSU_403500",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_403520",10
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_403560",3
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400133","DSU_403590",3
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400111","DSU_403620",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_403630",6
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_403640",4
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400124","DSU_403660",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400133","DSU_403690",2
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400090","DSU_403720",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_403730",1
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400116","DSU_403760",4
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400024","DSU_403790",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500064","DSU_501200",6
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500078","DSU_501330",1
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500067","DSU_501380",1
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500098","DSU_501450",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500099","DSU_501460",7
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500067","DSU_501510",1
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500078","DSU_501560",5
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500067","DSU_501590",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500067","DSU_501600",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500053","DSU_503420",1
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500053","DSU_503450",7
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_502516","DSU_503460",0
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500053","DSU_503480",2
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_500099","DSU_503650",1
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400021","GU_400021",5.933
"2023-11-19","2023-11-19","2023-11-19T00:00:00","2023-11-19T00:30:00","PT_400021","GU_400030",0.07
