StartTime,EndTime,ImbalanceVolume,ImbalancePrice,ImbalanceCost
"2023-11-22T02:00:00","2023-11-22T02:30:00",-13.849,52.89,-732.47361
"2023-11-22T02:30:00","2023-11-22T03:00:00",-12.904,24.6,-317.4384
"2023-11-22T03:00:00","2023-11-22T03:30:00",-13.208,33.15,-437.8452
"2023-11-22T03:30:00","2023-11-22T04:00:00",-11.677,33.74,-393.98198
"2023-11-22T04:00:00","2023-11-22T04:30:00",-6.788,18,-122.184
"2023-11-22T04:30:00","2023-11-22T05:00:00",-9.204,42.69,-392.91876
"2023-11-22T05:00:00","2023-11-22T05:30:00",-32.244,18.09,-583.29396
"2023-11-22T05:30:00","2023-11-22T06:00:00",-28.32,22.27,-630.6864
"2023-11-22T06:00:00","2023-11-22T06:30:00",-21.905,25.01,-547.84405
"2023-11-22T06:30:00","2023-11-22T07:00:00",-30.592,21.19,-648.24448
"2023-11-22T07:00:00","2023-11-22T07:30:00",-24.613,32.84,-808.29092
"2023-11-22T07:30:00","2023-11-22T08:00:00",-12.122,30.27,-366.93294
"2023-11-22T08:00:00","2023-11-22T08:30:00",-12.72,27.25,-346.62
"2023-11-22T08:30:00","2023-11-22T09:00:00",-18.311,25.71,-470.77581
"2023-11-22T09:00:00","2023-11-22T09:30:00",-29.541,28.66,-846.64506
"2023-11-22T09:30:00","2023-11-22T10:00:00",-37.619,29.23,-1099.60337
"2023-11-22T10:00:00","2023-11-22T10:30:00",-46.095,20.94,-965.2293
"2023-11-22T10:30:00","2023-11-22T11:00:00",-48.15,18.26,-879.219
"2023-11-22T11:00:00","2023-11-22T11:30:00",-44.655,21.23,-948.02565
"2023-11-22T11:30:00","2023-11-22T12:00:00",-37.985,13.29,-504.82065
"2023-11-22T12:00:00","2023-11-22T12:30:00",-22.763,31.36,-713.84768
"2023-11-22T12:30:00","2023-11-22T13:00:00",-20.285,38.09,-772.65565
"2023-11-22T13:00:00","2023-11-22T13:30:00",-11.035,69.81,-770.35335
"2023-11-22T13:30:00","2023-11-22T14:00:00",-13.921,72.02,-1002.59042
"2023-11-22T14:00:00","2023-11-22T14:30:00",-6.555,98.96,-648.6828
"2023-11-22T14:30:00","2023-11-22T15:00:00",5.943,166.94,992.12442
"2023-11-22T15:00:00","2023-11-22T15:30:00",6.277,174.96,1098.22392
"2023-11-22T15:30:00","2023-11-22T16:00:00",14.035,162.4,2279.284
"2023-11-22T16:00:00","2023-11-22T16:30:00",17.772,175.52,3119.34144
"2023-11-22T16:30:00","2023-11-22T17:00:00",22.768,171.08,3895.14944
"2023-11-22T17:00:00","2023-11-22T17:30:00",19.475,152.81,2975.97475
"2023-11-22T17:30:00","2023-11-22T18:00:00",4.428,139.37,617.13036
"2023-11-22T18:00:00","2023-11-22T18:30:00",-10.743,55.39,-595.05477
"2023-11-22T18:30:00","2023-11-22T19:00:00",-16.83,40.5,-681.615
"2023-11-22T19:00:00","2023-11-22T19:30:00",-15.204,27.3,-415.0692
"2023-11-22T19:30:00","2023-11-22T20:00:00",-21.198,22.74,-482.04252
"2023-11-22T20:00:00","2023-11-22T20:30:00",-13.503,28.92,-390.50676
"2023-11-22T20:30:00","2023-11-22T21:00:00",-19.613,32.15,-630.55795
"2023-11-22T21:00:00","2023-11-22T21:30:00",3.458,148.49,513.47842
"2023-11-22T21:30:00","2023-11-22T22:00:00",-17.748,20.12,-357.08976
"2023-11-22T22:00:00","2023-11-22T22:30:00",14.964,196.15,2935.1886
"2023-11-22T22:30:00","2023-11-22T23:00:00",-6.713,41.79,-280.53627
"2023-11-22T23:00:00","2023-11-22T23:30:00",2.882,116.13,334.68666
"2023-11-22T23:30:00","2023-11-23T00:00:00",-1.849,85.3,-157.7197
"2023-11-23T00:00:00","2023-11-23T00:30:00",-15.509,18.47,-286.45123
"2023-11-23T00:30:00","2023-11-23T01:00:00",-10.127,67.67,-685.29409
"2023-11-23T01:00:00","2023-11-23T01:30:00",1.011,69.78,70.54758
"2023-11-23T01:30:00","2023-11-23T02:00:00",-24.662,-4.04,99.63448
"2023-11-23T02:00:00","2023-11-23T02:30:00",-27.693,0,0
"2023-11-23T02:30:00","2023-11-23T03:00:00",-33.658,-2.14,72.02812
"2023-11-23T03:00:00","2023-11-23T03:30:00",-35.098,-2.58,90.55284
"2023-11-23T03:30:00","2023-11-23T04:00:00",-40.254,0,0
"2023-11-23T04:00:00","2023-11-23T04:30:00",-40.281,-0.68,27.39108
"2023-11-23T04:30:00","2023-11-23T05:00:00",-39.737,0,0
"2023-11-23T05:00:00","2023-11-23T05:30:00",-46.46,0,0
"2023-11-23T05:30:00","2023-11-23T06:00:00",-40.386,0,0
"2023-11-23T06:00:00","2023-11-23T06:30:00",-18.779,-1.9,35.6801
"2023-11-23T06:30:00","2023-11-23T07:00:00",-5.328,-3.6,19.1808
"2023-11-23T07:00:00","2023-11-23T07:30:00",7.595,181.89,1381.45455
"2023-11-23T07:30:00","2023-11-23T08:00:00",10.098,164.96,1665.76608
"2023-11-23T08:00:00","2023-11-23T08:30:00",11.914,186.66,2223.86724
"2023-11-23T08:30:00","2023-11-23T09:00:00",27.476,171.45,4710.7602
"2023-11-23T09:00:00","2023-11-23T09:30:00",10.202,139.7,1425.2194
"2023-11-23T09:30:00","2023-11-23T10:00:00",-0.902,85.22,-76.86844
"2023-11-23T10:00:00","2023-11-23T10:30:00",0.652,118.3,77.1316
"2023-11-23T10:30:00","2023-11-23T11:00:00",1.91,160.31,306.1921
"2023-11-23T11:00:00","2023-11-23T11:30:00",15.156,178.2,2700.7992
"2023-11-23T11:30:00","2023-11-23T12:00:00",7.294,178.6,1302.7084
"2023-11-23T12:00:00","2023-11-23T12:30:00",7.294,176.22,1285.34868
"2023-11-23T12:30:00","2023-11-23T13:00:00",7.197,182.66,1314.60402
"2023-11-23T13:00:00","2023-11-23T13:30:00",13.28,176.65,2345.912
"2023-11-23T13:30:00","2023-11-23T14:00:00",2.244,120.41,270.20004
"2023-11-23T14:00:00","2023-11-23T14:30:00",9.314,181.16,1687.32424
"2023-11-23T14:30:00","2023-11-23T15:00:00",8.709,175.07,1524.68463
"2023-11-23T15:00:00","2023-11-23T15:30:00",2.413,174.95,422.15435
"2023-11-23T15:30:00","2023-11-23T16:00:00",-16.326,38.23,-624.14298
"2023-11-23T16:00:00","2023-11-23T16:30:00",-24.267,61.29,-1487.32443
"2023-11-23T16:30:00","2023-11-23T17:00:00",-9.412,76.02,-715.50024
"2023-11-23T17:00:00","2023-11-23T17:30:00",-18.458,58.22,-1074.62476
"2023-11-23T17:30:00","2023-11-23T18:00:00",-34.115,51.54,-1758.2871
"2023-11-23T18:00:00","2023-11-23T18:30:00",-55.181,51.64,-2849.54684
"2023-11-23T18:30:00","2023-11-23T19:00:00",-52.3,64.66,-3381.718
"2023-11-23T19:00:00","2023-11-23T19:30:00",-58.918,60.64,-3572.78752
"2023-11-23T19:30:00","2023-11-23T20:00:00",-48.171,69.04,-3325.72584
"2023-11-23T20:00:00","2023-11-23T20:30:00",-45.833,69.96,-3206.47668
"2023-11-23T20:30:00","2023-11-23T21:00:00",-23.362,78.12,-1825.03944
"2023-11-23T21:00:00","2023-11-23T21:30:00",-1.175,76.34,-89.6995
"2023-11-23T21:30:00","2023-11-23T22:00:00",-9.933,92.4,-917.8092
"2023-11-23T22:00:00","2023-11-23T22:30:00",-9.725,95.65,-930.19625
"2023-11-23T22:30:00","2023-11-23T23:00:00",1.242,163.13,202.60746
"2023-11-23T23:00:00","2023-11-23T23:30:00",0.201,165.76,33.31776
"2023-11-23T23:30:00","2023-11-24T00:00:00",-10.552,66.89,-705.82328
"2023-11-24T00:00:00","2023-11-24T00:30:00",-19.929,86.84,-1730.63436
"2023-11-24T00:30:00","2023-11-24T01:00:00",-23.208,91.25,-2117.73
"2023-11-24T01:00:00","2023-11-24T01:30:00",-15.071,94.9,-1430.2379
"2023-11-24T01:30:00","2023-11-24T02:00:00",-17.902,96.45,-1726.6479
"2023-11-24T02:00:00","2023-11-24T02:30:00",-23.043,94.09,-2168.11587
"2023-11-24T02:30:00","2023-11-24T03:00:00",-28.443,63.19,-1797.31317
"2023-11-24T03:00:00","2023-11-24T03:30:00",-26.277,73.73,-1937.40321
"2023-11-24T03:30:00","2023-11-24T04:00:00",-23.987,68.41,-1640.95067
"2023-11-24T04:00:00","2023-11-24T04:30:00",-14.279,93.54,-1335.65766
"2023-11-24T04:30:00","2023-11-24T05:00:00",-3.673,93.03,-341.69919
"2023-11-24T05:00:00","2023-11-24T05:30:00",-8.973,103.7,-930.5001
"2023-11-24T05:30:00","2023-11-24T06:00:00",-12.193,104,-1268.072
"2023-11-24T06:00:00","2023-11-24T06:30:00",-24.466,102.35,-2504.0951
"2023-11-24T06:30:00","2023-11-24T07:00:00",-26.722,104.3,-2787.1046
"2023-11-24T07:00:00","2023-11-24T07:30:00",-35.902,101.09,-3629.33318
"2023-11-24T07:30:00","2023-11-24T08:00:00",-26.739,105,-2807.595
"2023-11-24T08:00:00","2023-11-24T08:30:00",-33.597,102.4,-3440.3328
"2023-11-24T08:30:00","2023-11-24T09:00:00",-30.327,104.85,-3179.78595
"2023-11-24T09:00:00","2023-11-24T09:30:00",-20.427,109.33,-2233.28391
"2023-11-24T09:30:00","2023-11-24T10:00:00",-7.801,122.22,-953.43822
"2023-11-24T10:00:00","2023-11-24T10:30:00",-4.055,120.69,-489.39795
"2023-11-24T10:30:00","2023-11-24T11:00:00",-5.956,120.95,-720.3782
"2023-11-24T11:00:00","2023-11-24T11:30:00",2.345,156.65,367.34425
"2023-11-24T11:30:00","2023-11-24T12:00:00",2.863,155.19,444.30897
"2023-11-24T12:00:00","2023-11-24T12:30:00",-4.908,113.15,-555.3402
"2023-11-24T12:30:00","2023-11-24T13:00:00",-4.94,141.66,-699.8004
"2023-11-24T13:00:00","2023-11-24T13:30:00",-16.15,109.57,-1769.5555
"2023-11-24T13:30:00","2023-11-24T14:00:00",-13.904,104.29,-1450.04816
"2023-11-24T14:00:00","2023-11-24T14:30:00",-11.364,117.12,-1330.95168
"2023-11-24T14:30:00","2023-11-24T15:00:00",-16.417,115.39,-1894.35763
"2023-11-24T15:00:00","2023-11-24T15:30:00",-26.974,111.52,-3008.14048
"2023-11-24T15:30:00","2023-11-24T16:00:00",-27.123,117.73,-3193.19079
"2023-11-24T16:00:00","2023-11-24T16:30:00",-20.136,123.88,-2494.44768
"2023-11-24T16:30:00","2023-11-24T17:00:00",6.072,194.73,1182.40056
"2023-11-24T17:00:00","2023-11-24T17:30:00",3.289,163.33,537.19237
"2023-11-24T17:30:00","2023-11-24T18:00:00",2.183,165.35,360.95905
"2023-11-24T18:00:00","2023-11-24T18:30:00",-3.357,116.73,-391.86261
"2023-11-24T18:30:00","2023-11-24T19:00:00",-5.95,100.19,-596.1305
"2023-11-24T19:00:00","2023-11-24T19:30:00",-9.379,99.05,-928.98995
"2023-11-24T19:30:00","2023-11-24T20:00:00",1.97,175.91,346.5427
"2023-11-24T20:00:00","2023-11-24T20:30:00",3.457,197.53,682.86121
"2023-11-24T20:30:00","2023-11-24T21:00:00",5.634,162.36,914.73624
"2023-11-24T21:00:00","2023-11-24T21:30:00",4.496,228.64,1027.96544
"2023-11-24T21:30:00","2023-11-24T22:00:00",8.239,162.1,1335.5419
"2023-11-24T22:00:00","2023-11-24T22:30:00",19.846,155.64,3088.83144
"2023-11-24T22:30:00","2023-11-24T23:00:00",7.075,154.8,1095.21
"2023-11-24T23:00:00","2023-11-24T23:30:00",6.554,156.92,1028.45368
"2023-11-24T23:30:00","2023-11-25T00:00:00",4.824,156.92,756.98208
"2023-11-25T00:00:00","2023-11-25T00:30:00",6.034,157.48,950.23432
"2023-11-25T00:30:00","2023-11-25T01:00:00",6.103,157.47,961.03941
"2023-11-25T01:00:00","2023-11-25T01:30:00",1.29,161.25,208.0125
"2023-11-25T01:30:00","2023-11-25T02:00:00",-4.175,112.91,-471.39925
