TradeDate,DeliveryDate,StartTime,EndTime,Forecast
2024-02-13,2024-02-13,2024-02-13T15:45:00,2024-02-13T16:00:00,710.747
2024-02-13,2024-02-13,2024-02-13T16:00:00,2024-02-13T16:15:00,754.535
2024-02-13,2024-02-13,2024-02-13T16:15:00,2024-02-13T16:30:00,802.516
2024-02-13,2024-02-13,2024-02-13T16:30:00,2024-02-13T16:45:00,850.491
2024-02-13,2024-02-13,2024-02-13T16:45:00,2024-02-13T17:00:00,898.473
2024-02-13,2024-02-13,2024-02-13T17:00:00,2024-02-13T17:15:00,946.457
2024-02-13,2024-02-13,2024-02-13T17:15:00,2024-02-13T17:30:00,972.257
2024-02-13,2024-02-13,2024-02-13T17:30:00,2024-02-13T17:45:00,998.071
2024-02-13,2024-02-13,2024-02-13T17:45:00,2024-02-13T18:00:00,1023.873
2024-02-13,2024-02-13,2024-02-13T18:00:00,2024-02-13T18:15:00,1049.687
2024-02-13,2024-02-13,2024-02-13T18:15:00,2024-02-13T18:30:00,1073.305
2024-02-13,2024-02-13,2024-02-13T18:30:00,2024-02-13T18:45:00,1096.94
2024-02-13,2024-02-13,2024-02-13T18:45:00,2024-02-13T19:00:00,1120.565
2024-02-13,2024-02-13,2024-02-13T19:00:00,2024-02-13T19:15:00,1144.396
2024-02-13,2024-02-13,2024-02-13T19:15:00,2024-02-13T19:30:00,1179.807
2024-02-13,2024-02-13,2024-02-13T19:30:00,2024-02-13T19:45:00,1215.212
2024-02-13,2024-02-13,2024-02-13T19:45:00,2024-02-13T20:00:00,1250.611
2024-02-13,2024-02-13,2024-02-13T20:00:00,2024-02-13T20:15:00,1286.02
2024-02-13,2024-02-13,2024-02-13T20:15:00,2024-02-13T20:30:00,1338.748
2024-02-13,2024-02-13,2024-02-13T20:30:00,2024-02-13T20:45:00,1391.473
2024-02-13,2024-02-13,2024-02-13T20:45:00,2024-02-13T21:00:00,1444.199
2024-02-13,2024-02-13,2024-02-13T21:00:00,2024-02-13T21:15:00,1496.923
2024-02-13,2024-02-13,2024-02-13T21:15:00,2024-02-13T21:30:00,1517.561
2024-02-13,2024-02-13,2024-02-13T21:30:00,2024-02-13T21:45:00,1538.221
2024-02-13,2024-02-13,2024-02-13T21:45:00,2024-02-13T22:00:00,1558.876
2024-02-13,2024-02-13,2024-02-13T22:00:00,2024-02-13T22:15:00,1579.524
2024-02-13,2024-02-13,2024-02-13T22:15:00,2024-02-13T22:30:00,1583.705
2024-02-13,2024-02-13,2024-02-13T22:30:00,2024-02-13T22:45:00,1587.887
2024-02-13,2024-02-13,2024-02-13T22:45:00,2024-02-13T23:00:00,1592.063
2024-02-14,2024-02-13,2024-02-13T23:00:00,2024-02-13T23:15:00,1596.245
