EffTime,ParticipantName,ResourceName,DispatchInstructionMW,InstructionCode,InstrIssueTime,RampUpRate,RampDownRate
2024-02-14T16:30:00,PT_400041,GU_400530,360.0,MWOF,2024-02-14T16:28:36,0,0
2024-02-14T16:30:00,PT_400030,GU_400363,60.0,MWOF,2024-02-14T16:28:14,0,0
2024-02-14T16:26:00,PT_400041,GU_400530,340.0,MWOF,2024-02-14T16:24:41,0,0
2024-02-14T16:10:00,PT_400041,GU_400530,310.0,MWOF,2024-02-14T16:08:37,0,0
2024-02-14T16:02:00,PT_500053,GU_501130,5.0,MWOF,2024-02-14T16:02:00,0,0
2024-02-14T16:00:00,PT_500053,GU_501130,0.0,SYNC,2024-02-14T15:20:23,0,0
2024-02-14T16:00:00,PT_500053,GU_501130,5.0,MWOF,2024-02-14T15:20:23,0,0
2024-02-14T16:00:00,PT_500053,DSU_503480,1.0,MWOF,2024-02-14T15:20:54,0,0
2024-02-14T16:00:00,PT_500053,DSU_503480,0.0,SYNC,2024-02-14T15:20:54,0,0
2024-02-14T16:00:00,PT_400030,GU_400251,0.0,SYNC,2024-02-14T16:00:22,0,0
2024-02-14T16:00:00,PT_400030,GU_400251,15.0,MWOF,2024-02-14T16:00:22,0,0
2024-02-14T15:45:00,PT_400030,GU_400363,0.0,MWOF,2024-02-14T15:43:31,0,0
2024-02-14T15:45:00,PT_400030,GU_400363,0.0,SYNC,2024-02-14T15:43:31,0,0
2024-02-14T15:45:00,PT_400030,GU_400363,5.0,MWOF,2024-02-14T15:43:31,0,0
2024-02-14T15:45:00,PT_400030,GU_400362,0.0,SYNC,2024-02-14T15:43:31,0,0
2024-02-14T15:45:00,PT_400030,GU_400362,5.0,MWOF,2024-02-14T15:43:31,0,0
2024-02-14T15:45:00,PT_400030,GU_400362,0.0,MWOF,2024-02-14T15:43:31,0,0
2024-02-14T15:45:00,PT_400028,GU_400930,390.0,MWOF,2024-02-14T15:43:56,0,0
2024-02-14T15:44:00,PT_400044,GU_400540,140.0,MWOF,2024-02-14T15:42:26,0,0
2024-02-14T15:44:00,PT_400035,GU_400480,145.0,MWOF,2024-02-14T15:42:18,0,0
2024-02-14T15:25:00,PT_400044,GU_400540,180.0,MWOF,2024-02-14T15:23:14,0,0
2024-02-14T15:25:00,PT_400035,GU_400480,180.0,MWOF,2024-02-14T15:23:14,0,0
2024-02-14T15:19:00,PT_400116,DSU_403760,2.0,MWOF,2024-02-14T15:21:07,0,0
2024-02-14T15:18:00,PT_400030,GU_400202,19.0,MWOF,2024-02-14T14:47:39,0,0
2024-02-14T15:14:00,PT_400030,GU_400211,9.0,MWOF,2024-02-14T15:12:43,0,0
2024-02-14T15:14:00,PT_400030,GU_400210,9.0,MWOF,2024-02-14T15:12:43,0,0
