TradeDate,DeliveryDate,StartTime,EndTime,Forecast
2023-11-21,2023-11-21,2023-11-21T15:15:00,2023-11-21T15:30:00,359.022
2023-11-21,2023-11-21,2023-11-21T15:30:00,2023-11-21T15:45:00,368.412
2023-11-21,2023-11-21,2023-11-21T15:45:00,2023-11-21T16:00:00,377.792
2023-11-21,2023-11-21,2023-11-21T16:00:00,2023-11-21T16:15:00,387.182
2023-11-21,2023-11-21,2023-11-21T16:15:00,2023-11-21T16:30:00,404.126
2023-11-21,2023-11-21,2023-11-21T16:30:00,2023-11-21T16:45:00,421.067
2023-11-21,2023-11-21,2023-11-21T16:45:00,2023-11-21T17:00:00,438.007
2023-11-21,2023-11-21,2023-11-21T17:00:00,2023-11-21T17:15:00,454.95
2023-11-21,2023-11-21,2023-11-21T17:15:00,2023-11-21T17:30:00,487.821
2023-11-21,2023-11-21,2023-11-21T17:30:00,2023-11-21T17:45:00,520.699
2023-11-21,2023-11-21,2023-11-21T17:45:00,2023-11-21T18:00:00,553.567
2023-11-21,2023-11-21,2023-11-21T18:00:00,2023-11-21T18:15:00,586.438
2023-11-21,2023-11-21,2023-11-21T18:15:00,2023-11-21T18:30:00,620.004
2023-11-21,2023-11-21,2023-11-21T18:30:00,2023-11-21T18:45:00,653.551
2023-11-21,2023-11-21,2023-11-21T18:45:00,2023-11-21T19:00:00,687.129
2023-11-21,2023-11-21,2023-11-21T19:00:00,2023-11-21T19:15:00,820.074
2023-11-21,2023-11-21,2023-11-21T19:15:00,2023-11-21T19:30:00,875.721
2023-11-21,2023-11-21,2023-11-21T19:30:00,2023-11-21T19:45:00,931.367
2023-11-21,2023-11-21,2023-11-21T19:45:00,2023-11-21T20:00:00,987.012
2023-11-21,2023-11-21,2023-11-21T20:00:00,2023-11-21T20:15:00,1042.657
2023-11-21,2023-11-21,2023-11-21T20:15:00,2023-11-21T20:30:00,1089.762
2023-11-21,2023-11-21,2023-11-21T20:30:00,2023-11-21T20:45:00,1136.864
2023-11-21,2023-11-21,2023-11-21T20:45:00,2023-11-21T21:00:00,1183.954
2023-11-21,2023-11-21,2023-11-21T21:00:00,2023-11-21T21:15:00,1231.05
2023-11-21,2023-11-21,2023-11-21T21:15:00,2023-11-21T21:30:00,1302.103
2023-11-21,2023-11-21,2023-11-21T21:30:00,2023-11-21T21:45:00,1373.148
2023-11-21,2023-11-21,2023-11-21T21:45:00,2023-11-21T22:00:00,1444.192
2023-11-21,2023-11-21,2023-11-21T22:00:00,2023-11-21T22:15:00,1515.25
2023-11-21,2023-11-21,2023-11-21T22:15:00,2023-11-21T22:30:00,1602.284
2023-11-21,2023-11-21,2023-11-21T22:30:00,2023-11-21T22:45:00,1689.334
2023-11-21,2023-11-21,2023-11-21T22:45:00,2023-11-21T23:00:00,1776.389
2023-11-22,2023-11-21,2023-11-21T23:00:00,2023-11-21T23:15:00,1863.43
